CensusBloc,population density,% White,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >60,med income,% unemployment,% female hh,% <highschool,% security inc,% assistant inc,% renter hh,% stay >=5yrs,Lonpro,Latpro,DV rate
170314112002,2430.463220105493,0.7419354840000001,0.0,0.0713073009999999,0.0,0.106960951,0.229202037,0.083191851,0.081494058,0.176570458,0.18336163,105156.0,0.061290323,0.087557604,0.035928144,0.0,0.0,0.414746544,0.603686636,450647.0,4626495.0,0.0
170314907002,4509.375984521422,0.0,0.0,0.0,0.0,0.0,0.189041096,0.047945205,0.1972602739999999,0.193150685,0.12739726,66023.0,0.1975308639999999,0.108108108,0.0918803419999999,0.2486486489999999,0.140540541,0.47027027,0.8810810809999999,447924.0,4617652.0,23.287671232876715
170314907003,4377.071144265641,0.0,0.0,0.0,0.0,0.0093727469999999,0.132660418,0.105984138,0.142033165,0.143475126,0.268925739,43304.0,0.228618421,0.15257732,0.173189824,0.113402062,0.084536082,0.216494845,0.87628866,447525.0,4617849.0,19.466474405191057
170314908001,2611.9279950554405,0.042944785,0.0,0.0,0.0,0.0,0.075153374,0.156441718,0.154907975,0.105828221,0.273006135,42472.0,0.021671827,0.177700348,0.045548654,0.087108014,0.1080139369999999,0.2020905919999999,0.8954703829999999,449397.0,4617829.0,24.539877300613497
170314908002,3665.258092219393,0.0,0.017910448,0.0,0.0,0.017910448,0.147761194,0.082089552,0.182089552,0.131343284,0.155223881,40536.0,0.301538462,0.140096618,0.158690176,0.0966183569999999,0.053140097,0.328502415,0.942028986,449086.0,4617765.0,17.910447761194032
170314908004,7886.541090252523,0.0,0.0,0.0,0.0,0.0,0.205405405,0.145173745,0.177606178,0.156756757,0.10965251,47396.0,0.194892473,0.2811735939999999,0.078857143,0.0537897309999999,0.031784841,0.3814180929999999,0.799511002,448732.0,4617662.0,3.861003861003861
170314909024,2889.7255958149217,0.0,0.0,0.0,0.0,0.0,0.069381599,0.14479638,0.152337858,0.069381599,0.334841629,55809.0,0.082539683,0.169491525,0.062365591,0.093220339,0.021186441,0.343220339,0.961864407,449222.0,4617268.0,18.09954751131222
170315610004,5422.166783690896,1.0,0.0,0.0,0.0,0.394176932,0.077267637,0.154535274,0.185890258,0.204927212,0.190369541,127703.0,0.0,0.073578595,0.080851064,0.130434783,0.0,0.0,0.802675585,434137.0,4626596.0,1.1198208286674132
170315610006,4728.133783187728,0.824313072,0.0,0.0,0.0,0.298917569,0.035803497,0.165695254,0.113238968,0.117402165,0.348043297,91818.0,0.0,0.024444444,0.0950783,0.037777778,0.0,0.271111111,0.74,433570.0,4626587.0,1.6652789342214822
170315611002,6494.595839673445,0.880111524,0.0,0.0,0.0,0.616171004,0.111524164,0.151486989,0.144981413,0.137546468,0.105018587,95096.0,0.118577075,0.132653061,0.072115385,0.2721088439999999,0.0,0.030612245,0.904761905,436168.0,4626425.0,1.858736059479554
170315611003,5351.654026811807,0.6327683620000001,0.0,0.0,0.0,0.683615819,0.108474576,0.150282486,0.138983051,0.151412429,0.155932203,90341.0,0.060046189,0.13986014,0.211243612,0.0,0.0,0.090909091,0.807692308,436160.0,4626833.0,3.389830508474576
170315611004,4245.417165030283,0.691358025,0.0,0.0,0.0,0.416904084,0.150047483,0.168091168,0.130104463,0.165242165,0.20322887,102500.0,0.136442142,0.1363636359999999,0.214824121,0.187165775,0.069518717,0.109625668,0.938502674,435809.0,4626622.0,1.8993352326685664
170315701001,840.0366048759447,0.515625,0.028125,0.065625,0.0,0.734375,0.171875,0.171875,0.1234375,0.07578125,0.146875,56008.0,0.073855244,0.111111111,0.362068966,0.02962963,0.041975309,0.301234568,0.8444444440000001,440290.0,4629619.0,1.5625
170312601001,3699.472332316924,0.086378738,0.0,0.0,0.0,0.018272425,0.132059801,0.096345515,0.101328904,0.156976744,0.308139535,14505.0,0.1901566,0.126516464,0.346330275,0.185441941,0.0207972269999999,0.911611785,0.705372617,439987.0,4637191.0,29.900332225913623
170318407001,9060.110161897042,0.336028751,0.0,0.0,0.0,0.683737646,0.179694519,0.082659479,0.123090746,0.243486074,0.07277628,45883.0,0.018549747,0.15542522,0.45705968,0.0,0.0791788859999999,0.4868035189999999,0.906158358,442117.0,4633769.0,5.3908355795148255
